"Ensembl","gene","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull"
"ENSG00000172172","MRPL13",537,1.7742172742e-06,4.76159429929e-06,7.42141908562e-07,18,57,10,22.1237946805,54.4472369773,10.9354981817,0.543520882790296,-0.169214859534603,0.280229183144602,7.01924287122997e-07,0.274557628244179,0.725441669831534
"ENSG00000100218",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000029639","TFB1M",1041,4.20489010045e-06,1.01877317477e-05,1.1104877844e-06,41,133,10,50.575957,118.3628003,15.51573105,0.834756369364344,-0.658062136247247,1.38709649468812,1.15656604217462e-05,0.815763282796501,0.184225151543077
"ENSG00000132604","TERF2",1503,7.64286841104e-06,1.77125757071e-05,1.16493292551e-06,58,105,2,81.7209580346,183.8641609,16.9056568141,1.62672819882853,2.84477387449042,3.59107702397253,0.927472177448586,0.0725114285095227,1.63940418916121e-05
"ENSG00000139218","SCAF11",4392,1.28005672193e-05,3.53712774773e-05,3.12740625256e-06,164,471,4,148.882109944,401.276604193,40.4364080381,-0.768103309111879,-1.70244523030102,5.67595518352428,0.999681330779109,0.000318669219798064,1.09321811246398e-12
"ENSG00000111218","PRMT8",1185,6.1764108298e-06,1.3380934552e-05,9.20994506487e-07,70,57,1,71.2393228011,150.356077772,14.0947285419,0.0910275877289996,3.72390531012202,3.45507824712238,0.95875274427484,0.0412277301503571,1.95255748025898e-05
"ENSG00000142185","TRPM2",4512,3.20148444128e-05,6.15220195551e-05,3.79987684094e-06,382,677,43,346.599497203,655.752453009,51.9243245063,-1.17881288771676,-0.405839516918535,1.22681642251108,3.36526227253837e-25,0.0124740636976531,0.987525936302347
"ENSG00000162676","GFI1",1269,1.11811206103e-05,1.93847853779e-05,9.26397519408e-07,54,98,4,88.7420202105,158.344370702,9.71185175135,2.28633482214033,2.34558972839202,1.81558077159847,0.029628557114147,0.923974536320879,0.0463969065649736
"ENSG00000131724","IL13RA1",1284,5.43220362068e-06,1.19950057679e-05,1.11187684554e-06,25,80,0,33.5072918474,79.2244882985,11.5696683529,0.911110409969719,-0.0426161424408688,3.36938143635825,0.97917160586094,0.020810686258736,1.77078803243535e-05
"ENSG00000101194","SLC17A9",1311,8.3535204802e-06,1.59198082836e-05,1.16095304839e-06,93,123,13,88.5642112559,163.115085432,16.2600347372,-0.292207453298359,1.53630436185503,0.800850030420018,5.26686938450496e-08,0.395935867910527,0.604064079420779
"ENSG00000112812","PRSS16",1545,9.32716940953e-06,1.94955307004e-05,1.76149623232e-06,69,147,13,104.292712698,213.299086097,23.8750493949,2.14243399196513,2.2203913883576,2.20469644230903,2.23791834002529e-06,0.975077477919405,0.0249202841622546
"ENSG00000005884","ITGA3",3201,1.7676471418e-05,3.96513118778e-05,3.30697747539e-06,163,325,16,185.075509697,408.630658207,43.3893955271,1.00597115835368,2.02356290421477,4.11889083595411,2.40911978006841e-05,0.999968669497302,7.23930489729508e-06
"ENSG00000128595","CALU",972,3.39146966486e-06,8.83933552729e-06,7.97425068713e-07,43,70,2,30.5388687451,83.729389945,9.55457061172,-1.39791389056112,0.733886176290366,2.42099490493257,0.447140101291407,0.54645917287485,0.00640072583374235
"ENSG00000136531","SCN2A",6018,2.05619176303e-05,5.4573045359e-05,4.49503284414e-06,240,283,2,239.561817126,617.554070232,60.0478935265,-0.0175514525325735,6.58484084333794,7.42039937812771,0.999999992314383,7.6856172010827e-09,1.50831673961379e-22
"ENSG00000100211","CBY1",381,1.75623815167e-06,4.60586479682e-06,3.43350935785e-07,19,49,3,21.3442373854,53.254653601,5.49842153146,0.314565562164762,0.285168505482485,1.05544693864701,0.0274301810457834,0.794983987270204,0.177585831684013
"ENSG00000183617","MRPL54",417,2.60792253474e-06,5.96449751731e-06,2.88061840012e-07,27,66,2,29.1189042631,64.8961852907,4.25278353228,0.243429101230235,-0.0670195066761019,1.08211276412202,0.0856958675435356,0.760716383516738,0.153587748939727
"ENSG00000175220","ARHGAP1",1320,6.8580543088e-06,1.43070264864e-05,1.0170834681e-06,74,136,4,75.3349344027,151.896715989,14.9627715146,0.0953475952417736,0.630883643723639,2.80739828330557,0.185564722294501,0.812004260072597,0.00243101763290249
"ENSG00000112981","NME5",639,1.91988372171e-06,5.36592475154e-06,4.01900551177e-07,19,58,1,23.4979659031,61.9793801649,6.51532362771,0.575242328184912,0.247234034631402,2.14038894928015,0.570640716006077,0.417771698486597,0.0115875855073256
"ENSG00000168283","BMI1",981,2.90268373406e-06,8.02636515642e-06,9.70024476731e-07,41,56,3,36.4929642951,94.2204948966,14.6666016995,-0.462526175940719,1.92592787541849,3.01765314880066,0.515144747396546,0.484068588606544,0.000786663996909644
"ENSG00000178934","LGALS7B",411,4.05096563656e-06,7.40641494531e-06,3.7218717094e-07,3,4,0,19.8347985723,33.1186672443,1.5046276285,2.34338443419172,2.47486514444688,1.21507829358297,0.478395552225766,0.438571493465357,0.083032954308877
"ENSG00000034510","TMSB10",135,7.71104773913e-07,1.61643422068e-06,7.81119423358e-08,7,7,1,8.41438019941,16.5102885185,1.41600693162,0.302276592638988,1.1448085477734,0.346304100938977,0.124315434010793,0.612863304822993,0.262821261166214
"ENSG00000187608","ISG15",498,4.12649833217e-06,7.24825916914e-06,2.3587219008e-07,44,79,3,47.5922764,82.9624756,3.51067386,0.322813272682925,0.212785810450386,0.269984022947795,0.00984781293610986,0.600249312746062,0.389902874317828
"ENSG00000174684",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206283",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131652","THOC6",1026,5.42638473494e-06,1.18531003486e-05,1.36861275115e-06,68,147,8,64.4859073855,134.421988494,20.1935164368,-0.271287561419189,-0.530631322347374,2.68789747186978,0.00219344761881848,0.993903933662032,0.00390261871914958
"ENSG00000090539","CHRD",2868,1.78587075861e-05,3.92002006841e-05,2.90189965654e-06,154,316,13,169.32789181,372.69349354,37.5463368178,0.730243727579908,1.43639481503832,3.96819104920089,0.00038124723708207,0.999602195969548,1.65567933703692e-05
"ENSG00000102805","CLN5",1224,6.03443749005e-06,1.39318258553e-05,8.57594570915e-07,53,135,9,58.8283945952,137.555185392,10.6947193445,0.471090759904654,0.106562115868244,0.513337222429006,5.08087125944432e-06,0.418022085459388,0.581972833669352
"ENSG00000119314","PTBP3",1677,5.61023035599e-06,1.50470288607e-05,1.69330754006e-06,68,150,3,68.2638136255,173.736888677,24.7441189115,0.0197945402551945,0.880834708040412,4.33007571980143,0.978776733356337,0.0212231126680931,1.53975569630188e-07
"ENSG00000159259","CHAF1B",1680,8.2451790863e-06,1.80038182529e-05,1.25528067303e-06,95,160,4,96.9671405118,205.734586087,19.3035348184,0.123843273747519,1.55958031294103,3.4503492163972,0.536697059074058,0.463168158754694,0.000134782171248338
"ENSG00000100568","VTI1B",699,3.13159019175e-06,8.75419913883e-06,8.18263943444e-07,27,77,3,33.0781772831,92.2385149401,10.9821024719,0.65516718216374,0.776073469306444,2.38596603911681,0.209578768555067,0.781238942985146,0.00918228845978722
"ENSG00000108468","CBX1",558,1.98559468872e-06,4.98395206827e-06,6.59139827997e-07,20,16,0,24.173588,58.1456118,9.14457745,0.526245826773036,2.70340017406322,2.99551503309815,0.949842677925257,0.0500008532129904,0.000156468861753051
"ENSG00000169313","P2RY12",1029,3.93103791388e-06,9.14952730207e-06,3.86173580192e-07,48,91,2,44.95858,104.085144,4.79452376,-0.281202769993619,0.627334652583453,1.2642261609792,0.107032257879275,0.775862577886172,0.117105164234553
"ENSG00000158109","TPRG1L",819,6.61669209153e-06,1.26487430682e-05,6.96139020016e-07,48,74,5,42.5830617957,83.2401039964,8.22874071958,-0.514618080063592,0.495366744839452,1.1149521596665,0.00284528475212618,0.803826307975222,0.193328407272651
"ENSG00000136044","APPL2",2013,8.94752405822e-06,2.02177456098e-05,1.87516070387e-06,93,245,18,103.208664082,227.114739895,28.8183878126,0.622962304832871,-0.580483801118236,1.99626143242148,3.52822991386898e-09,0.922102777783028,0.0778972186887426
"ENSG00000102057","KCND1",1944,1.13195073047e-05,2.67911615227e-05,1.23432810052e-06,68,118,2,70.2811208346,164.327179846,9.5533560078,0.168685699778715,1.76765642707534,2.42075961202356,0.447025940564966,0.546567883250052,0.00640617618498254
"ENSG00000130349","C6orf203",738,2.41564369494e-06,6.60398319606e-06,5.58870246782e-07,23,81,5,28.627033,75.6108845,7.29854021,0.651989454853662,-0.303139251357407,0.842798573139841,0.00178692275457031,0.714876685009249,0.28333639223618
"ENSG00000113163","COL4A3BP",2259,1.08895426229e-05,2.54918546158e-05,2.25698517624e-06,96,123,4,99.5609675621,235.254965802,29.2446930919,0.221244838360086,3.57975015017605,4.62419612116713,0.979474243191344,0.0205257281171203,2.86915358866761e-08
"ENSG00000179776","CDH5",2355,1.68522425718e-05,3.15466239897e-05,1.70739673291e-06,164,331,6,176.336281672,331.846763808,23.0063850024,0.575921795812857,0.0227367542259405,3.51218628436057,0.146020817838369,0.853820497871794,0.000158684289836531
"ENSG00000182333","LIPF",1227,3.70273351407e-06,9.57770689726e-06,8.58566089158e-07,47,114,7,43.7617775993,108.945010395,13.121434222,-0.303464829581476,-0.236883053171041,1.67398753133096,0.000753524618867874,0.924303489757166,0.0749429856239664
"ENSG00000141968","VAV1",2538,1.2436413933e-05,2.98633163334e-05,2.90894964917e-06,131,159,2,138.630652758,320.144711338,41.8519058716,0.401776134858734,4.40513614056346,6.10212589189388,0.999993062871965,6.93712803242409e-06,2.38556611332466e-15
"ENSG00000155760","FZD7",1725,1.73980434418e-05,3.00982257765e-05,7.0182528965e-07,129,154,1,197.5425,341.4383146,8.3709233,3.02328526326378,4.96156470110173,2.52362539521289,0.73019872989797,0.267066520315932,0.00273474978609707
"ENSG00000125266","EFNB2",1002,5.66231745937e-06,1.08314359613e-05,5.73210085973e-07,68,79,0,66.250717,124.8179068,8.59007232,-0.133233511953463,2.00591805297167,2.90327446826375,0.938926864720003,0.0608168086785361,0.000256326601460579
"ENSG00000184220","CMSS1",840,3.41094619033e-06,7.31721263692e-06,8.42825284434e-07,34,106,7,40.2914997727,81.668884882,12.8235515791,0.614464721767135,-1.31689232372541,1.61091812036788,0.000665484679606108,0.912513157701145,0.0868213576192489
"ENSG00000132669","RIN2",2835,1.60278953804e-05,3.30063465184e-05,1.76810925339e-06,142,315,7,159.397581974,323.598865808,19.3545386558,0.854275356734107,0.23380610902023,2.78179309905349,0.0082955850905875,0.988883428713083,0.00282098619632961
"ENSG00000107404","DVL1",2013,1.68135265958e-05,3.53106960631e-05,1.54562883454e-06,211,361,5,158.703104213,323.880341913,18.8304915084,-2.57355039814113,-1.00885470984996,3.15715988578469,0.157164971605877,0.842152650553916,0.000682377840206944
"ENSG00000105829","BET1",357,9.71032811522e-07,2.64222012628e-06,2.44812751643e-07,9,31,4,11.5580560886,29.004202023,4.1559988174,0.46646354691624,-0.181260412261871,0.0758007111540988,0.00201119979865631,0.50098006285712,0.497008737344224
"ENSG00000165985","C1QL3",768,7.72712097527e-06,1.22096280585e-05,3.17483787214e-07,38,37,0,75.4717537045,119.567844846,3.91681286371,2.67399914434953,3.69334645857958,1.96045154058386,0.718803251749119,0.267338416905846,0.0138583313450343
"ENSG00000160111","CPAMD8",5799,4.02783816247e-05,7.70342016128e-05,5.63367392089e-06,333,676,34,355.308305439,685.250470483,66.8739234417,0.733690995296095,0.172845067840215,3.98210575645814,2.01801525841884e-14,0.999974749452667,2.52505473128029e-05
"ENSG00000169026","MFSD7",1680,1.28607907806e-05,2.29666540009e-05,1.24719133483e-06,130,245,17,122.800626773,216.540212944,15.5298130396,-0.402759238149196,-0.94597361656631,-0.369555100855003,2.75660020784589e-12,0.0199442224339674,0.980055777563276
"ENSG00000131238","PPT1",921,4.27944299789e-06,9.15049406012e-06,9.35728653445e-07,49,112,9,51.8418231107,106.606476376,14.2181282315,0.24468416740863,-0.255502591197975,1.37082894717545,3.75207213169725e-05,0.826491751841536,0.173470727437148
"ENSG00000196220","SRGAP3",3300,1.8085600847e-05,4.04113343352e-05,2.85998235771e-06,203,297,1,206.573861887,451.197189062,40.4534330057,0.154153766986518,3.55066528553772,6.14464482273065,0.999997750223865,2.24977613464546e-06,7.59064153995436e-16
"ENSG00000088451","TGDS",1053,4.04278264531e-06,9.19513203344e-06,9.44583070919e-07,34,108,10,48.378807987,104.502425938,14.9488153941,1.28157734488564,-0.167349146179106,1.26790758930152,8.78036163423323e-06,0.765575523684583,0.234415695953783
"ENSG00000156049","GNA14",1068,5.29472596599e-06,1.20485522068e-05,1.00211115527e-06,62,137,14,59.0064385658,131.056271103,13.6713768455,-0.241594890732534,-0.253947782017938,-0.0880403408252033,6.82392732529186e-10,0.0702689355571555,0.929731063760452
"ENSG00000131153","GINS2",558,2.8251919971e-06,6.20724938037e-06,5.94626934071e-07,43,94,11,28.2830361065,63.5545684594,8.0657955252,-1.71555455650213,-1.86794983458719,-1.02342623822095,6.07718456409909e-09,0.0361702382996778,0.963829755623138
"ENSG00000101146","RAE1",1107,4.72341413998e-06,1.03373819827e-05,1.31051985278e-06,58,55,1,55.5812555487,115.563805717,18.3037615763,-0.201128929752093,2.75561593995284,4.0064534819996,0.991169300003019,0.00883026370859505,4.36288386448728e-07
"ENSG00000164330","EBF1",1776,1.1106115496e-05,2.2773709716e-05,1.40636522942e-06,93,123,1,118.435514146,237.842163492,20.6177831158,1.44893466828221,3.64228142850987,4.27975177697801,0.996264496901181,0.00373544982967388,5.32691446121056e-08
"ENSG00000105053","VRK3",1425,6.36948511291e-06,1.39154621428e-05,1.31143014656e-06,81,161,12,73.2455438525,154.999687744,18.8834055832,-0.56170777277663,-0.235734939563443,1.5691082965248,1.57414497489905e-06,0.852750633410481,0.147247792444544
"ENSG00000160285",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000121671","CRY2",1845,1.07573700996e-05,2.47552111165e-05,1.80749161693e-06,106,171,2,111.586386296,259.453352313,23.4502221631,0.327850476262274,2.68597093981672,4.38781237179379,0.993283035571508,0.00671691922713641,4.52013554002214e-08
"ENSG00000154822","PLCL2",3006,1.09648259402e-05,2.69453052315e-05,1.58712450602e-06,126,188,0,126.32925,307.3914061,20.07793014,0.018163065757204,3.33076252521839,4.43863221378427,0.999118779774419,0.00088121245064469,7.77493660005578e-09
"ENSG00000204898",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000131686","CA6",942,4.91440011387e-06,1.00074808409e-05,7.02740604266e-07,52,109,5,55.1534960012,107.195964181,10.6115421617,0.263242347566674,-0.0852243493723021,1.70640707031981,0.00802362076493995,0.929774522091703,0.0622018571433569
"ENSG00000100577","GSTZ1",651,2.97352246483e-06,6.54997307359e-06,8.61180683452e-07,37,82,9,32.4359376183,68.916086914,11.8465774303,-0.496806825310668,-0.770892202724298,0.819249625712947,1.06852258414363e-05,0.571416641396212,0.428572673377947
"ENSG00000136026","CKAP4",1809,1.51739814997e-05,2.51395759554e-05,7.38582738499e-07,95,164,0,108.701991857,198.095302159,6.94088411985,0.814731702202859,1.1848786402559,2.6097390619168,0.891862493984838,0.10704367966096,0.00109382635420114
"ENSG00000133665","DYDC2",576,1.59717468788e-06,4.38769558902e-06,3.84535036478e-07,18,52,3,18.440201,48.1153171,5.15061393,0.06355017137406,-0.273923968446878,0.93869096554769,0.0233122399240471,0.769496689908513,0.20719107016744
"ENSG00000169291","SHE",1488,1.00375521744e-05,1.94224677267e-05,1.36661390951e-06,74,148,3,101.630916383,196.845841516,17.0482676988,1.69914959326852,1.70286675910862,3.3703292416318,0.721620118578427,0.278254023405498,0.000125858016074387
"ENSG00000078114","NEBL",3045,1.15381277453e-05,2.68272824763e-05,3.2333297935e-06,165,396,40,139.349283895,308.041302593,47.0738063498,-1.34708892295946,-2.45126771166502,1.02129983314024,5.76983793061894e-24,0.00932031573671352,0.990679684263287
"ENSG00000177045","SIX5",2220,2.05374838429e-05,3.41772360593e-05,9.32750455582e-07,145,202,2,161.692860248,266.849355719,8.03191330742,0.813833996161739,1.94173218491223,2.1083140093604,0.310828642912358,0.671358473342735,0.0178128837449072
"ENSG00000181852","RNF41",954,4.68867122303e-06,1.21820884659e-05,7.38092222683e-07,52,42,1,55.219112,140.1210777,10.45821985,0.268559502918589,4.05440469832721,2.89714480977775,0.856083577085887,0.143437605498702,0.000478817415410745
"ENSG00000167553","TUBA1C",1350,5.69932051607e-06,1.48162162455e-05,7.55748285146e-07,48,58,1,66.1865188271,169.410632772,10.1289639487,1.38584386774899,4.18670805999832,2.84137581364178,0.840150770014777,0.159214953581257,0.000634276403965791
"ENSG00000211638",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000132139",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000181938","GINS3",768,4.05450122475e-06,8.57572367996e-06,6.15214625218e-07,33,77,2,43.24835,88.8104095,7.06702236,0.966092264427822,0.612984554439127,1.88809700990687,0.236040219115464,0.73137979753705,0.0325799833474867
"ENSG00000203773",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000082258","CCNT2",2193,8.35478714006e-06,1.99935334626e-05,1.36813754585e-06,95,172,4,96.5337053386,225.547073192,18.8902618632,0.0967727885423768,1.74394916125229,3.39369692866634,0.49810408150126,0.501713641619454,0.00018227687928694
"ENSG00000116062",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000076344","RGS11",1404,9.87829379909e-06,2.07216507559e-05,1.79124550319e-06,76,171,16,76.8710276218,157.622859766,20.0091474785,0.061588725551237,-0.521157170046946,0.887825145118754,1.25776709985289e-09,0.327560544854602,0.672439453887631
"ENSG00000142279","WTIP",1293,1.35772022446e-05,2.57925247121e-05,1.13415131041e-06,46,78,6,45.5030841892,96.6143362727,12.1793700005,-0.0456683717281577,0.926282114661249,1.75396727827721,0.00279904745490993,0.93875502667358,0.0584459258715102
"ENSG00000170632","ARMC10",1032,5.02821481858e-06,1.13493061293e-05,7.10431249562e-07,37,81,4,47.4704776025,106.288732523,9.84568165769,0.942115640042755,1.19977394640524,1.84544873213621,0.0312022174247536,0.925544884292048,0.0432528982831985
"ENSG00000008710","PKD1",12912,0.00010978124018,0.000206183569902,7.47453821952e-06,1153,1763,11,906.531947857,1705.70387373,74.5477351777,-5.07479638979206,-0.678561094768309,7.29075590152253,0.999905331991465,9.46680085346985e-05,7.89207256034668e-19
"ENSG00000197943","PLCG2",3798,2.06771167731e-05,4.58495457909e-05,4.2803995795e-06,306,468,6,239.507002083,512.678658142,59.4830069734,-2.66358310040346,0.965148979807784,6.86924559311925,0.999993046683293,6.9533167074959e-06,4.02181887312522e-18
"ENSG00000082556","OPRK1",1143,7.12056266791e-06,1.48961876636e-05,6.87971401646e-07,61,139,4,75.3861907646,160.086396424,8.5737683893,1.02718661010747,0.81515781057318,1.5473124512815,0.0188155191797378,0.898090681253453,0.0830937995668089
"ENSG00000213341","CHUK",2238,7.01969671901e-06,2.01083046469e-05,2.16123436282e-06,82,148,3,81.5679652143,221.014936555,32.2728232764,-0.0296553851827264,2.40224431158754,5.10429609131048,0.998703705142778,0.00129629469220426,1.65017930241066e-10
"ENSG00000184156","KCNQ3",2619,1.6499715212e-05,3.27580041062e-05,2.23996503026e-06,143,230,4,167.788259574,337.389571496,30.2099042667,1.18635698371497,2.85964974318291,4.72367962730267,0.985604293672352,0.0143956943441109,1.19835369881747e-08
"ENSG00000047315","POLR2B",3525,1.19980811308e-05,3.37929228447e-05,3.42674677218e-06,132,113,8,145.43411127,389.919263181,48.3771638674,0.690597263647365,6.85933976607993,5.75049576131541,0.988161838424889,0.0118381615626829,1.24283822618506e-11
"ENSG00000171824","EXOSC10",2658,1.21622515579e-05,2.73799578159e-05,2.96124139615e-06,150,296,19,146.199270221,315.158647721,43.3050898807,-0.194867940431773,0.527856246970329,3.65862092316142,1.65795367368417e-07,0.999923521697167,7.63125074654418e-05
"ENSG00000051341","POLQ",7773,2.40024435844e-05,6.58090583423e-05,5.98857096741e-06,293,829,74,279.617502051,747.464669351,79.8134214806,-0.496140355162325,-1.4587026736176,0.644589951187593,9.94639217152803e-47,1.73243468659873e-06,0.999998267565313
"ENSG00000126785","RHOJ",645,3.88825208644e-06,7.2743131349e-06,4.40347679385e-07,23,86,2,44.9211565233,82.6635654746,6.97711718767,2.02762465822865,-0.179490475252169,1.86650672295288,0.229657760958795,0.735937658923278,0.0344045801179274
"ENSG00000143217",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000106714","CNTNAP3",3867,2.16965402343e-05,4.4576599172e-05,3.79357423383e-06,65,122,8,131.337762382,271.520869493,29.7343444332,3.58852254331717,4.43830067995154,3.94827220833028,0.0725663655548519,0.927411946952093,2.16874930548644e-05
"ENSG00000115159","GPD2",2184,7.45024310653e-06,2.06034517661e-05,1.65840739641e-06,95,220,11,90.132256473,237.700457504,25.176501547,-0.317860631868202,0.561548167278352,2.79873037114751,0.000100774785789542,0.997183216468283,0.00271600874592729
"ENSG00000044115","CTNNA1",2721,1.13491761517e-05,2.83481573615e-05,2.31176205868e-06,146,193,5,132.343816976,320.382541791,32.6646756275,-0.735914665034178,3.48090219439553,4.79486203173003,0.970554290062812,0.0294456957694366,1.41677517993259e-08
"ENSG00000137321",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000130700","GATA5",1194,1.24382046849e-05,2.08218635607e-05,8.89583932359e-07,65,105,2,70.2479015765,123.355259333,7.26881289558,0.38816677796103,0.80834920269151,1.93584561772643,0.250742908677773,0.72045946830414,0.0287976230180864
"ENSG00000088766","CRLS1",906,5.78195525419e-06,1.18211944071e-05,9.35327141819e-07,19,60,4,22.7962877294,56.3183951029,10.0313352607,0.492920342387308,-0.239953941813284,1.8863565024579,0.0335080599829462,0.92727022084313,0.0392217191739241
"ENSG00000143921","ABCG8",2022,1.12976647542e-05,2.26924512922e-05,1.52743211148e-06,144,344,23,126.231270926,251.558822862,21.6726639816,-0.980441278819613,-2.85077046260119,-0.282432340614997,3.74527259993631e-16,0.00539899742307175,0.994601002576928
"ENSG00000110987","BCL7A",696,4.64259016565e-06,8.55068416358e-06,8.12503630551e-07,37,79,3,51.723796912,92.6244900476,11.0787563705,1.2691827065335,0.692426640793158,2.40430024796975,0.215729268155923,0.775615626668,0.00865510517607703
"ENSG00000114480","GBE1",2109,9.14490012839e-06,2.10399572816e-05,1.79052773633e-06,91,261,21,93.4857428035,207.06088192,22.7169190142,0.159379508622478,-1.83345880811188,0.356832823933093,1.17856543699791e-13,0.042480254367404,0.957519745632478
"ENSG00000198211",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000143457","GOLPH3L",858,2.68178730929e-06,8.29207521387e-06,1.01971659549e-06,34,83,5,32.061597,95.6273223,13.22998751,-0.212226834963573,0.631591995858722,2.24134726836838,0.0221067463015886,0.962117500050466,0.0157757536479457
"ENSG00000132612","VPS4A",1314,7.50733595641e-06,1.57811249422e-05,1.27522048714e-06,90,77,2,75.3246699008,155.704470894,16.3545647725,-1.04825922027929,3.08507297757569,3.51609130151696,0.912320744087044,0.0876526138403263,2.66420726301455e-05
"ENSG00000185269","NOTUM",1491,1.19612934614e-05,2.34650310908e-05,1.70035127164e-06,98,135,8,99.9212066584,187.399852388,17.7166496405,0.119150381711265,1.87224313082454,2.28673293134211,0.000860399771955871,0.984521788918401,0.0146178113096432
"ENSG00000163481","RNF25",1380,5.44294146464e-06,1.46888660265e-05,1.68660113801e-06,57,171,4,65.5013878251,169.805428358,23.1435414774,0.651199682286831,-0.0448397545838752,3.94182265447723,0.829695265718338,0.170298431200755,6.30308090707427e-06
"ENSG00000132185","FCRLA",1149,4.32617320627e-06,9.8442085513e-06,7.30234746218e-07,60,142,7,49.645767516,111.186888481,9.88570393615,-0.911016339091653,-1.42930545514923,0.909154428640342,0.000166358002713443,0.684428385049454,0.315405256947833
"ENSG00000170214","ADRA1B",1563,1.3083576263e-05,2.44925878141e-05,5.98395027891e-07,71,111,2,121.231656454,228.061080808,6.25894391079,2.82825916491693,3.79143370590921,1.6863241374935,0.182479134837027,0.76493269536748,0.0525881697954929
"ENSG00000070669","ASNS",1686,6.11450970706e-06,1.58534390551e-05,1.34045286855e-06,70,141,8,73.0389415006,182.410059484,19.4615930978,0.220441968756451,1.49967892264791,2.57362621605195,0.00166592807757199,0.99256022963263,0.00577384228979827
"ENSG00000125633","CCDC93",1896,7.02763159842e-06,1.89350176252e-05,2.62689120385e-06,87,188,10,83.9401373997,212.523640693,38.2091941377,-0.207045666088707,0.822805322061333,4.52060418517232,0.064375261486792,0.935623661045723,1.07746748473906e-06
